customer,cart_additions,chain_length
customer204,0,1
customer205,0,1
customer206,0,1
customer207,0,1
customer208,0,1
customer209,0,1
customer210,0,1
customer211,1,9
customer212,1,2
customer213,0,2
customer214,0,1
customer215,0,1
customer216,0,1
customer217,1,4
customer218,0,1
customer219,0,1
customer220,6,1
customer221,0,1
customer222,0,1
customer223,0,1
customer224,0,1
customer225,0,3
customer226,0,16
customer227,0,1
customer228,1,2
customer229,0,3
customer230,0,1
customer231,0,1
customer232,0,1
customer233,0,3
customer234,0,1
customer235,0,8
customer236,0,1
customer237,0,1
customer238,0,1
customer239,0,1
customer240,3,1
customer241,0,1
customer242,0,1
customer243,0,1
customer244,1,1
customer245,0,2
customer246,0,1
customer247,0,1
customer248,0,1
customer249,0,1
customer250,24,38
customer251,0,1
customer252,0,2
customer253,0,1
customer254,0,11
customer255,0,1
customer256,0,1
customer257,0,1
customer258,0,1
customer259,0,1
customer260,0,1
customer261,0,1
customer262,0,1
customer263,0,1
customer264,0,1
customer265,0,1
customer266,0,1
customer267,0,1
customer268,0,1
customer269,0,1
customer270,0,1
customer271,0,1
customer272,0,1
customer273,0,1
customer274,0,1
customer275,0,1
customer276,0,1
customer277,0,1
customer278,0,1
customer279,0,1
customer280,0,1
customer281,0,1
customer282,0,1
customer283,0,1
customer284,0,1
customer285,0,3
customer286,0,1
customer287,0,1
customer288,0,1
customer289,0,1
customer290,0,1
customer291,0,1
customer292,2,8
customer293,0,1
customer294,0,1
customer295,0,2
customer296,0,1
customer297,2,1
customer298,0,1
customer299,16,5
customer300,0,1
customer301,0,4
customer302,0,1
customer303,0,1
customer304,0,1
customer305,0,1
customer306,0,1
customer307,0,1
customer308,0,1
customer309,0,1
customer310,0,1
customer311,4,6
customer312,0,2
customer313,0,1
customer314,0,1
customer315,0,8
customer316,0,2
customer317,0,3
customer318,0,1
customer319,0,2
customer320,0,1
customer321,2,1
customer322,0,1
customer323,0,1
customer324,0,1
customer325,0,1
customer326,0,1
customer327,0,1
customer328,0,1
customer329,0,1
customer330,0,1
customer331,0,1
customer332,0,13
customer333,0,1
customer334,0,4
customer335,0,1
customer336,0,1
customer337,0,1
customer338,0,1
customer339,0,1
customer340,0,1
customer341,0,2
customer342,9,1
customer343,0,2
customer344,0,2
customer345,7,2
customer346,9,1
customer347,0,1
customer348,0,2
customer349,0,1
customer350,0,1
customer351,0,1
customer352,0,2
customer353,0,1
customer354,0,3
customer355,0,1
customer356,0,1
customer357,0,8
customer358,0,1
customer359,0,4
customer360,0,1
customer361,0,1
customer362,15,1
customer363,0,1
customer364,0,1
customer365,0,1
customer366,0,3
customer367,0,1
customer368,0,2
customer369,0,1
customer370,0,2
customer371,0,1
customer372,0,4
customer373,0,1
customer374,0,1
customer375,0,2
customer376,0,1
customer377,0,1
customer378,0,1
customer379,0,1
customer380,0,1
customer381,0,1
customer382,0,3
customer383,0,7
customer384,0,1
customer385,0,1
customer386,0,1
customer387,0,1
customer388,0,1
customer389,0,1
customer390,0,1
customer391,0,1
customer392,0,1
customer393,0,1
customer394,0,1
customer395,0,1
customer396,0,1
customer397,0,1
customer398,0,1
customer399,0,9
customer400,0,8
customer401,0,1
customer402,0,1
customer403,0,1
customer404,0,2
customer405,0,1
customer406,0,1
customer407,0,1
customer408,0,2
customer409,0,3
customer410,0,1
customer411,0,1
customer412,0,1
customer413,0,1
customer414,0,2
customer415,5,2
customer416,0,2
customer417,0,1
customer418,0,1
customer419,0,1
customer420,0,1
customer421,4,4
customer422,0,3
customer423,6,2
customer424,0,1
customer425,0,4
customer426,0,5
customer427,0,1
customer428,0,1
customer429,0,1
customer430,0,2
customer431,0,2
customer432,0,1
customer433,1,1
customer434,0,1
customer435,0,1
customer436,0,1
customer437,0,1
customer438,0,1
customer439,0,1
customer440,0,1
customer441,0,2
customer442,0,1
customer443,0,1
customer444,0,1
customer445,0,1
customer446,0,1
customer447,0,1
customer448,0,1
customer449,0,3
customer450,0,1
customer451,0,1
customer452,0,1
customer453,0,1
customer454,0,1
customer455,0,1
customer456,0,1
customer457,0,1
customer458,0,1
customer459,0,1
customer460,0,1
customer461,0,1
customer462,0,2
customer463,0,1
customer464,0,1
customer465,0,1
customer466,0,1
customer467,2,1
customer468,2,2
customer469,0,1
customer470,0,1
customer471,0,4
customer472,0,1
customer473,0,1
customer474,0,1
customer475,0,1
customer476,0,2
customer477,0,1
customer478,0,1
customer479,6,4
customer480,0,1
customer481,0,1
customer482,0,1
customer483,28,1
customer484,0,1
customer485,0,1
customer486,0,1
customer487,0,2
customer488,0,1
customer489,0,1
customer490,0,1
customer491,0,1
customer492,0,1
customer493,0,1
customer494,0,1
customer495,0,1
customer496,0,1
customer497,0,1
customer498,0,1
customer499,0,1
customer500,0,2
customer501,2,4
customer502,1,2
customer503,0,2
customer504,0,1
customer505,0,1
customer506,8,1
customer507,0,1
customer508,0,1
customer509,0,1
customer510,4,2
customer511,0,1
customer512,0,1
customer513,0,1
customer514,0,1
customer515,0,1
customer516,0,2
customer517,0,1
customer518,0,1
customer519,0,1
customer520,0,1
customer521,0,1
customer522,0,4
customer523,0,1
customer524,0,1
customer525,0,1
customer526,0,4
customer527,0,1
customer528,1,2
customer529,0,1
customer530,0,1
customer531,0,2
customer532,0,1
customer533,0,1
customer534,0,1
customer535,0,1
customer536,0,1
customer537,0,1
customer538,0,1
customer539,0,1
customer540,0,1
customer541,0,1
customer542,0,1
customer543,0,1
customer544,0,13
customer545,0,1
customer546,0,1
customer547,0,1
customer548,0,1
customer549,0,1
customer550,0,1
customer551,0,1
customer552,0,1
customer553,0,1
customer554,0,1
customer555,0,1
customer556,0,1
customer557,0,1
customer558,0,1
customer559,17,2
customer560,0,1
customer561,0,1
customer562,0,1
customer563,0,1
customer564,0,1
customer565,0,2
customer566,0,1
customer567,0,1
customer568,0,1
customer569,0,2
customer570,0,1
customer571,0,1
customer572,0,1
customer573,0,1
customer574,0,1
customer575,0,1
customer576,0,1
customer577,0,1
customer578,0,5
customer579,0,3
customer580,0,1
customer581,0,1
customer582,0,3
customer583,0,2
customer584,0,1
customer585,0,2
customer586,0,1
customer587,0,1
customer588,0,1
customer589,0,1
customer590,0,1
customer591,0,1
customer592,0,1
customer593,0,1
customer594,0,1
customer595,0,5
customer596,0,7
customer597,2,1
customer598,0,1
customer599,0,1
customer600,0,1
customer601,0,2
customer602,0,1
customer603,0,1
customer604,0,3
customer605,0,1
customer606,0,1
customer607,0,1
customer608,0,4
customer609,0,1
customer610,0,1
customer611,0,1
customer612,0,1
customer613,0,1
customer614,0,1
customer615,0,1
customer616,0,1
customer617,0,1
customer618,0,1
customer619,0,1
customer620,6,2
customer621,0,1
customer622,18,4
customer623,1,1
customer624,0,1
customer625,0,1
customer626,0,1
customer627,0,1
customer628,0,1
customer629,0,1
customer630,0,1
customer631,0,1
customer632,0,1
customer633,0,2
customer634,0,3
customer635,0,1
customer636,0,1
customer637,0,1
customer638,0,1
customer639,0,1
customer640,0,1
customer641,0,1
customer642,0,1
customer643,0,1
customer644,0,1
customer645,0,1
customer646,2,2
customer647,3,1
customer648,0,1
customer649,0,1
customer650,0,1
customer651,0,1
customer652,0,1
customer653,0,1
customer654,0,1
customer655,19,2
customer656,0,1
customer657,0,2
customer658,0,2
customer659,0,1
customer660,0,1
customer661,0,1
customer662,0,1
customer663,0,1
customer664,0,1
customer665,0,1
customer666,0,1
customer667,0,3
customer668,0,1
customer669,0,1
customer670,0,1
customer671,0,1
customer672,0,1
customer673,0,1
customer674,0,1
customer675,0,1
customer676,0,1
customer677,4,1
customer678,0,1
customer679,0,1
customer680,0,12
customer681,0,8
customer682,0,1
customer683,0,1
customer684,1,1
customer685,0,2
customer686,0,1
customer687,0,1
customer688,0,2
customer689,0,1
customer690,0,1
customer691,0,1
customer692,0,1
customer693,0,1
customer694,1,4
customer695,0,3
customer696,0,1
customer697,0,1
customer698,0,1
customer699,0,1
customer700,3,6
customer701,0,2
customer702,0,1
customer703,0,1
customer704,0,1
customer705,0,1
customer706,0,1
customer707,0,1
customer708,0,1
customer709,1,1
customer710,0,1
customer711,0,1
customer712,0,1
customer713,0,2
customer714,0,1
customer715,0,1
customer716,0,1
customer717,0,1
customer718,0,1
customer719,3,3
customer720,0,1
customer721,0,6
customer722,0,1
customer723,0,1
customer724,0,1
customer725,0,1
customer726,0,1
customer727,0,1
customer728,0,1
customer729,0,1
customer730,0,1
customer731,3,12
customer732,0,1
customer733,0,1
customer734,0,1
customer735,0,1
customer736,0,1
customer737,0,2
customer738,0,1
customer739,0,1
customer740,0,2
customer741,0,1
customer742,0,1
customer743,0,1
customer744,0,1
customer745,0,1
customer746,0,1
customer747,0,1
customer748,0,3
customer749,0,9
customer750,0,1
customer751,0,6
customer752,0,1
customer753,0,1
customer754,2,1
customer755,0,1
customer756,0,1
customer757,0,1
customer758,0,1
customer759,0,1
customer760,0,1
customer761,0,2
customer762,0,1
customer763,0,1
customer764,0,1
customer765,1,2
customer766,0,1
customer767,0,1
customer768,6,5
customer769,0,1
customer770,0,1
customer771,0,1
customer772,0,1
customer773,0,1
customer774,0,2
customer775,0,1
customer776,0,2
customer777,0,1
customer778,0,1
customer779,0,1
customer780,0,2
customer781,0,1
customer782,0,1
customer783,0,6
customer784,0,2
customer785,10,1
customer786,0,1
customer787,0,1
customer788,2,4
customer789,4,6
customer790,0,2
customer791,0,1
customer792,0,1
customer793,0,1
customer794,4,1
customer795,0,3
customer796,0,1
customer797,0,1
customer798,0,1
customer799,0,1
customer800,0,1
customer801,0,1
customer802,0,1
customer803,8,1
customer804,11,9
customer805,0,13
customer806,0,1
customer807,0,1
customer808,0,1
customer809,0,1
customer810,1,4
customer811,0,1
customer812,0,2
customer813,0,1
customer814,2,3
customer815,0,1
customer816,0,1
customer817,0,1
customer818,0,1
customer819,0,1
customer820,1,1
customer821,0,1
customer822,0,2
customer823,0,1
customer824,0,1
customer825,0,1
customer826,1,1
customer827,0,2
customer828,0,1
customer829,0,1
customer830,0,1
customer831,0,1
customer832,0,1
customer833,0,4
customer834,0,1
customer835,4,1
customer836,0,1
customer837,0,2
customer838,0,1
customer839,0,1
customer840,0,1
customer841,0,1
customer842,0,1
customer843,0,1
customer844,0,1
customer845,0,1
customer846,0,1
customer847,0,1
customer848,8,1
customer849,0,1
customer850,0,1
customer851,0,1
customer852,0,1
customer853,0,1
customer854,0,1
customer855,0,1
customer856,0,4
customer857,0,1
customer858,0,2
customer859,0,1
customer860,0,4
customer861,0,1
customer862,0,1
customer863,0,1
customer864,0,1
customer865,0,1
customer866,0,1
customer867,0,1
customer868,0,1
customer869,0,1
customer870,0,1
customer871,0,1
customer872,0,1
customer873,0,1
customer874,0,1
customer875,0,2
customer876,0,1
customer877,0,2
customer878,0,1
customer879,0,1
customer880,0,2
customer881,0,1
customer882,0,1
customer883,0,9
customer884,0,1
customer885,0,1
customer886,0,1
customer887,0,1
customer888,0,1
customer889,0,1
customer890,0,1
customer891,0,1
customer892,2,1
customer893,0,1
customer894,0,1
customer895,1,1
customer896,0,1
customer897,0,1
customer898,19,1
customer899,0,1
customer900,0,1
customer901,0,1
customer902,0,5
customer903,0,8
customer904,0,1
customer905,0,1
customer906,0,4
customer907,0,1
customer908,0,2
customer909,0,1
customer910,5,2
customer911,0,1
customer912,0,1
customer913,0,1
customer914,0,1
customer915,0,3
customer916,0,1
customer917,0,1
customer918,0,1
customer919,0,1
customer920,0,1
customer921,0,2
customer922,4,4
customer923,0,1
customer924,0,1
customer925,0,1
customer926,3,1
customer927,0,1
customer928,0,1
customer929,0,1
customer930,0,1
customer931,0,1
customer932,0,2
customer933,0,1
customer934,0,1
customer935,0,1
customer936,0,1
customer937,0,1
customer938,0,2
customer939,0,1
customer940,0,1
customer941,0,1
customer942,0,1
customer943,0,1
customer944,2,1
customer945,0,2
customer946,0,1
customer947,0,1
customer948,0,1
customer949,0,1
customer950,0,1
customer951,0,1
customer952,0,1
customer953,0,1
customer954,0,1
customer955,0,1
customer956,0,1
customer957,0,1
customer958,0,1
customer959,1,2
customer960,0,1
customer961,0,1
customer962,0,2
customer963,0,1
customer964,0,1
customer965,0,1
customer966,0,29
customer967,0,1
customer968,0,1
customer969,6,1
customer970,0,1
customer971,12,1
customer972,2,2
customer973,0,1
customer974,0,1
customer975,0,1
customer976,0,2
customer977,0,1
customer978,0,1
customer979,0,2
customer980,0,1
customer981,0,1
customer982,0,2
customer983,0,1
customer984,0,2
customer985,0,1
customer986,0,1
customer987,0,2
customer988,0,1
customer989,0,5
customer990,0,1
customer991,0,1
customer992,0,1
customer993,0,1
customer994,0,2
customer995,1,11
customer996,0,1
customer997,0,11
customer998,0,1
customer999,0,2
customer1000,0,2
customer1001,0,1
customer1002,0,1
customer1003,0,1
customer1004,0,2
customer1005,0,1
customer1006,0,1
customer1007,0,1
customer1008,0,1
customer1009,0,1
customer1010,8,2
customer1011,0,1
customer1012,0,1
customer1013,0,1
customer1014,0,1
customer1015,0,1
customer1016,0,1
customer1017,0,1
customer1018,0,2
customer1019,0,1
customer1020,0,1
customer1021,0,1
customer1022,0,1
customer1023,0,3
customer1024,0,1
customer1025,0,1
customer1026,0,1
customer1027,0,1
customer1028,0,2
customer1029,0,2
customer1030,0,2
customer1031,0,1
customer1032,0,1
customer1033,0,1
customer1034,0,1
customer1035,9,1
customer1036,0,3
customer1037,0,1
customer1038,0,3
customer1039,0,1
customer1040,0,1
customer1041,1,2
customer1042,0,1
customer1043,0,1
customer1044,0,1
customer1045,0,1
customer1046,0,1
customer1047,0,1
customer1048,1,1
customer1049,2,2
customer1050,0,1
customer1051,0,1
customer1052,0,1
customer1053,0,1
customer1054,0,1
customer1055,7,1
customer1056,0,1
customer1057,0,1
customer1058,0,1
customer1059,0,3
customer1060,0,1
customer1061,0,2
customer1062,0,1
customer1063,2,1
customer1064,0,1
customer1065,0,1
customer1066,0,2
customer1067,0,2
customer1068,0,1
customer1069,1,10
customer1070,0,1
customer1071,0,1
customer1072,0,1
customer1073,0,1
customer1074,0,1
customer1075,0,1
customer1076,0,2
customer1077,0,1
customer1078,0,2
customer1079,0,1
customer1080,0,1
customer1081,0,1
customer1082,0,1
customer1083,9,8
customer1084,0,1
customer1085,0,1
customer1086,0,1
customer1087,0,1
customer1088,0,1
customer1089,0,1
customer1090,0,1
customer1091,0,1
customer1092,0,1
customer1093,0,1
customer1094,0,1
customer1095,0,1
customer1096,0,2
customer1097,0,1
customer1098,0,1
customer1099,0,1
customer1100,0,1
customer1101,0,1
customer1102,0,3
customer1103,0,1
customer1104,0,1
customer1105,0,1
customer1106,0,1
customer1107,0,1
customer1108,0,1
customer1109,0,1
customer1110,0,1
customer1111,2,1
customer1112,1,1
customer1113,0,1
customer1114,0,1
customer1115,0,1
customer1116,0,1
customer1117,0,1
customer1118,0,2
customer1119,0,1
customer1120,0,1
customer1121,0,1
customer1122,0,2
customer1123,0,1
customer1124,0,3
customer1125,0,1
customer1126,4,5
customer1127,10,1
customer1128,0,1
customer1129,0,1
customer1130,0,1
customer1131,0,1
customer1132,0,1
customer1133,0,1
customer1134,0,1
customer1135,0,1
customer1136,0,1
customer1137,3,16
customer1138,0,1
customer1139,0,1
customer1140,1,1
customer1141,0,1
customer1142,4,1
customer1143,0,1
customer1144,0,1
customer1145,0,1
customer1146,0,1
customer1147,0,3
customer1148,0,1
customer1149,0,1
customer1150,0,2
customer1151,0,2
customer1152,0,1
customer1153,0,1
customer1154,0,1
customer1155,5,1
customer1156,2,11
customer1157,0,1
customer1158,0,5
customer1159,0,2
customer1160,0,1
customer1161,0,1
customer1162,0,2
customer1163,0,1
customer1164,0,1
customer1165,0,1
customer1166,0,1
customer1167,0,1
customer1168,0,1
customer1169,0,3
customer1170,0,1
customer1171,0,1
customer1172,3,1
customer1173,0,1
customer1174,0,2
customer1175,0,1
customer1176,0,2
customer1177,0,1
customer1178,0,1
customer1179,0,1
customer1180,0,1
customer1181,4,1
customer1182,0,3
customer1183,0,2
customer1184,0,1
customer1185,0,9
customer1186,1,2
customer1187,0,1
customer1188,0,1
customer1189,0,1
customer1190,0,1
customer1191,0,1
customer1192,0,1
customer1193,0,1
customer1194,9,7
customer1195,0,1
customer1196,0,1
customer1197,0,5
customer1198,2,1
customer1199,1,1
customer1200,0,1
customer1201,0,1
customer1202,0,1
customer1203,1,3
customer1204,0,1
customer1205,1,1
customer1206,0,1
customer1207,19,1
customer1208,0,2
customer1209,0,1
customer1210,0,1
customer1211,0,1
customer1212,0,1
customer1213,0,1
customer1214,0,2
customer1215,0,1
customer1216,0,2
customer1217,0,1
customer1218,2,3
customer1219,0,1
customer1220,0,1
customer1221,0,1
customer1222,0,1
customer1223,0,1
customer1224,0,1
customer1225,0,1
customer1226,0,1
customer1227,0,1
customer1228,0,1
customer1229,1,1
customer1230,0,1
customer1231,0,6
customer1232,0,1
customer1233,0,1
customer1234,0,4
customer1235,0,1
customer1236,0,1
customer1237,0,1
customer1238,0,1
customer1239,0,1
customer1240,3,1
customer1241,0,1
customer1242,0,1
customer1243,0,1
customer1244,0,1
customer1245,0,1
customer1246,0,5
customer1247,7,1
customer1248,0,1
customer1249,0,2
customer1250,0,6
customer1251,0,1
customer1252,0,1
customer1253,0,1
customer1254,0,1
customer1255,0,1
customer1256,0,1
customer1257,0,1
customer1258,0,1
customer1259,0,1
customer1260,2,1
customer1261,0,1
customer1262,0,1
customer1263,0,1
customer1264,0,1
customer1265,0,1
customer1266,0,1
customer1267,0,1
customer1268,0,1
customer1269,0,1
customer1270,0,1
customer1271,0,2
customer1272,0,1
customer1273,0,1
customer1274,0,2
customer1275,0,1
customer1276,0,2
customer1277,0,1
customer1278,0,1
customer1279,6,1
customer1280,0,1
customer1281,0,1
customer1282,2,4
customer1283,0,1
customer1284,0,1
customer1285,1,1
customer1286,0,2
customer1287,0,1
customer1288,0,2
customer1289,0,1
customer1290,0,1
customer1291,0,1
customer1292,0,8
customer1293,0,1
customer1294,0,1
customer1295,0,1
customer1296,0,1
customer1297,0,15
customer1298,0,1
customer1299,0,1
customer1300,0,1
customer1301,0,1
customer1302,13,2
customer1303,0,2
customer1304,16,4
customer1305,0,1
customer1306,0,1
customer1307,1,1
customer1308,0,1
customer1309,0,1
customer1310,0,1
customer1311,5,2
customer1312,0,1
customer1313,6,1
customer1314,0,1
customer1315,0,1
customer1316,0,1
customer1317,0,1
customer1318,0,1
customer1319,0,1
customer1320,0,1
customer1321,2,5
customer1322,0,2
customer1323,0,6
customer1324,0,1
customer1325,0,1
customer1326,0,1
customer1327,0,1
customer1328,0,1
customer1329,0,1
customer1330,0,1
customer1331,0,1
customer1332,0,2
customer1333,0,1
customer1334,0,2
customer1335,0,1
customer1336,0,1
customer1337,0,1
customer1338,0,1
customer1339,0,1
customer1340,0,1
customer1341,0,1
customer1342,0,1
customer1343,0,3
customer1344,0,4
customer1345,10,2
customer1346,0,2
customer1347,0,1
customer1348,0,2
customer1349,0,1
customer1350,0,1
customer1351,0,1
customer1352,0,2
customer1353,0,1
customer1354,0,1
customer1355,0,1
customer1356,0,1
customer1357,0,1
customer1358,0,2
customer1359,0,1
customer1360,0,1
customer1361,0,2
customer1362,6,1
customer1363,0,1
customer1364,0,1
customer1365,0,1
customer1366,0,1
customer1367,0,1
customer1368,0,1
customer1369,0,1
customer1370,0,1
customer1371,0,1
customer1372,0,1
customer1373,0,1
customer1374,0,1
customer1375,0,1
customer1376,0,1
customer1377,0,2
customer1378,0,1
customer1379,1,1
customer1380,0,1
customer1381,0,1
customer1382,0,1
customer1383,0,9
customer1384,0,1
customer1385,0,1
customer1386,2,2
customer1387,0,1
customer1388,0,1
customer1389,0,1
customer1390,0,1
customer1391,0,1
customer1392,1,4
customer1393,0,1
customer1394,0,1
customer1395,0,1
customer1396,0,2
customer1397,0,7
customer1398,2,1
customer1399,0,3
customer1400,0,1
customer1401,0,1
customer1402,0,4
customer1403,0,1
customer1404,0,1
customer1405,0,1
customer1406,0,1
customer1407,0,1
customer1408,0,2
customer1409,0,3
customer1410,0,1
customer1411,0,1
customer1412,0,1
customer1413,0,2
customer1414,0,1
customer1415,0,1
customer1416,7,2
customer1417,0,2
customer1418,0,1
customer1419,0,1
customer1420,0,1
customer1421,0,10
customer1422,6,1
customer1423,0,1
customer1424,0,1
customer1425,0,1
customer1426,0,1
customer1427,0,3
customer1428,0,1
customer1429,0,1
customer1430,0,1
customer1431,0,1
customer1432,0,1
customer1433,0,1
customer1434,0,2
customer1435,0,1
customer1436,0,1
customer1437,0,1
customer1438,0,1
customer1439,0,1
customer1440,0,1
customer1441,0,1
customer1442,0,1
customer1443,3,1
customer1444,0,1
customer1445,0,1
customer1446,0,1
customer1447,0,1
customer1448,0,1
customer1449,0,1
customer1450,0,2
customer1451,0,1
customer1452,0,1
customer1453,0,1
customer1454,0,1
customer1455,0,12
customer1456,0,1
customer1457,0,1
customer1458,0,1
customer1459,0,1
customer1460,0,1
customer1461,0,1
customer1462,8,2
customer1463,2,1
customer1464,0,2
customer1465,0,1
customer1466,0,1
customer1467,5,1
customer1468,0,1
customer1469,0,1
customer1470,7,2
customer1471,0,1
customer1472,0,1
customer1473,0,1
customer1474,0,2
customer1475,0,1
customer1476,0,1
customer1477,0,1
customer1478,0,1
customer1479,0,1
customer1480,0,1
customer1481,0,2
customer1482,0,1
customer1483,0,2
customer1484,0,1
customer1485,0,10
customer1486,0,1
customer1487,1,1
customer1488,0,1
customer1489,0,1
customer1490,0,3
customer1491,0,1
customer1492,0,2
customer1493,0,1
customer1494,0,1
customer1495,0,1
customer1496,0,2
customer1497,0,1
customer1498,0,1
customer1499,0,1
customer1500,0,1
customer1501,0,1
customer1502,0,1
customer1503,0,1
customer1504,0,1
customer1505,0,1
customer1506,0,1
customer1507,0,2
customer1508,0,1
customer1509,0,1
customer1510,0,1
customer1511,0,1
customer1512,0,1
customer1513,0,2
customer1514,3,1
customer1515,0,1
customer1516,0,1
customer1517,0,14
customer1518,0,1
customer1519,0,1
customer1520,0,1
customer1521,0,1
customer1522,0,1
customer1523,0,2
customer1524,0,1
customer1525,0,1
customer1526,0,1
customer1527,0,2
customer1528,0,1
customer1529,0,1
customer1530,0,1
customer1531,0,1
customer1532,0,1
customer1533,0,1
customer1534,0,2
customer1535,6,1
customer1536,0,1
customer1537,0,1
customer1538,0,1
customer1539,24,3
customer1540,1,1
customer1541,0,1
customer1542,0,3
customer1543,0,1
customer1544,0,4
customer1545,0,1
customer1546,0,1
customer1547,0,1
customer1548,0,1
customer1549,0,1
customer1550,0,4
customer1551,0,1
customer1552,0,1
customer1553,0,1
customer1554,0,1
customer1555,0,1
customer1556,1,2
customer1557,0,1
customer1558,0,1
customer1559,0,1
customer1560,0,1
customer1561,0,1
customer1562,0,1
customer1563,0,3
customer1564,0,1
customer1565,0,1
customer1566,0,1
customer1567,0,3
customer1568,0,3
customer1569,0,1
customer1570,0,1
customer1571,0,1
customer1572,0,1
customer1573,0,2
customer1574,0,5
customer1575,0,1
customer1576,0,1
customer1577,0,1
customer1578,0,1
customer1579,0,1
customer1580,0,1
customer1581,0,1
customer1582,0,1
customer1583,0,1
customer1584,0,3
customer1585,0,16
customer1586,0,1
customer1587,0,1
customer1588,0,1
customer1589,0,1
customer1590,0,1
customer1591,0,1
customer1592,0,1
customer1593,0,1
customer1594,0,1
customer1595,0,1
customer1596,0,1
customer1597,0,1
customer1598,0,2
customer1599,0,1
customer1600,0,2
customer1601,0,1
customer1602,0,1
customer1603,0,1
customer1604,1,1
customer1605,0,2
customer1606,0,1
customer1607,0,1
customer1608,0,1
customer1609,0,2
customer1610,0,1
customer1611,0,1
customer1612,0,6
customer1613,0,1
customer1614,0,1
customer1615,0,1
customer1616,0,1
customer1617,0,1
customer1618,0,1
customer1619,13,1
customer1620,0,4
customer1621,0,1
customer1622,0,1
customer1623,0,1
customer1624,0,1
customer1625,0,1
customer1626,0,1
customer1627,0,1
customer1628,0,1
customer1629,0,1
customer1630,0,1
customer1631,0,1
customer1632,0,1
customer1633,0,1
customer1634,0,1
customer1635,0,1
customer1636,0,1
customer1637,0,1
customer1638,0,1
customer1639,0,1
customer1640,12,2
customer1641,0,1
customer1642,0,1
customer1643,0,1
customer1644,0,7
customer1645,0,1
customer1646,0,1
customer1647,0,1
customer1648,0,1
customer1649,0,1
customer1650,0,1
customer1651,0,1
customer1652,0,2
customer1653,0,1
customer1654,0,1
customer1655,0,1
customer1656,0,1
customer1657,0,1
customer1658,0,1
customer1659,0,1
customer1660,0,1
customer1661,0,1
customer1662,0,1
customer1663,0,1
